https://thenewboston.com/ {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/index.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/forum {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_beauty.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_business.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_food.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_health.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_math.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_science.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_social.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/login.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/register.php {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://www.thenewboston.com/videos.php?cat=278&video=27335 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': 'Sun, 12 Mar 2017 07:21:50 GMT'}
https://www.thenewboston.com/forum/category.php?id=10 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': 'Sun, 12 Mar 2017 07:21:32 GMT'}
https://thenewboston.com/videos.php?cat=31 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=16 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=43 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=10 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://vimeo.com/album/3510171/video/135525511 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=357 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=365 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=44 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=366 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=359 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=98 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=361 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=367 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=360 {'title': '', 'depth': 7, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/search.php?type=1&sort=pop& {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
 {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2306 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=297 {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=1706 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2222 {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=763 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=881 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2294 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=767 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/forum/search_forums.php {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
